Card Name,Card Number,Arcana Type,Suit,Element,Astrological Influence,Chakra Focus,Spiritual Theme,Life Area,Emotional Tone,Channeled Description,Upright Meaning,Reversed Meaning,Affirmation,Journal Prompt,Image URL Placeholder
Ace of Cups,1,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Ace.","The Ace of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Ace of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Ace of Cups revealing to me today?,
Two of Cups,2,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Two.","The Two of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Two of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Two of Cups revealing to me today?,
Three of Cups,3,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Three.","The Three of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Three of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Three of Cups revealing to me today?,
Four of Cups,4,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Four.","The Four of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Four of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Four of Cups revealing to me today?,
Five of Cups,5,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Five.","The Five of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Five of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Five of Cups revealing to me today?,
Six of Cups,6,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Six.","The Six of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Six of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Six of Cups revealing to me today?,
Seven of Cups,7,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Seven.","The Seven of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Seven of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Seven of Cups revealing to me today?,
Eight of Cups,8,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Eight.","The Eight of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Eight of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Eight of Cups revealing to me today?,
Nine of Cups,9,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Nine.","The Nine of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Nine of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Nine of Cups revealing to me today?,
Ten of Cups,10,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Ten.","The Ten of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Ten of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Ten of Cups revealing to me today?,
Page of Cups,11,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Page.","The Page of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Page of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Page of Cups revealing to me today?,
Knight of Cups,12,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Knight.","The Knight of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Knight of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Knight of Cups revealing to me today?,
Queen of Cups,13,Minor Arcana,Cups,Water,TBD,Heart,Exploring cups through daily life experiences,Emotions & Relationships,Feelings and relationships,"A divine whisper flows from the cups realm, speaking of feelings and relationships through the archetype of the Queen.","The Queen of Cups brings clarity and insight in its upright form, encouraging aligned action.","In reverse, the Queen of Cups invites reflection on blocked energies or misalignment.",I embrace the feelings and relationships within the cups with grace.,What lessons is the Queen of Cups revealing to me today?,
