Card,Essence / Soul Energy,Keywords Upright,Keywords Reversed,Channeled Message,Life Area Activation,Prompt,Affirmation,Spirit Ally,Element,Planet,Sound
Ace of Wands,Ace energy within the realm of wands — New beginnings and potential.,"passion, creativity, New beginnings and potential","blocked energy, resistance, imbalance","""I am the Ace of Wands. I reflect the sacred dance of new beginnings and potential.""","Wands themes: passion, creativity, action",What does the Ace of Wands ask you to explore?,"""I align with the Fire within me and grow through new beginnings and potential""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Two of Wands,"Two energy within the realm of wands — Balance, duality, decision.","passion, creativity, Balance","blocked energy, resistance, imbalance","""I am the Two of Wands. I reflect the sacred dance of balance, duality, decision.""","Wands themes: passion, creativity, action",What does the Two of Wands ask you to explore?,"""I align with the Fire within me and grow through balance, duality, decision""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Three of Wands,"Three energy within the realm of wands — Growth, cooperation, creation.","passion, creativity, Growth","blocked energy, resistance, imbalance","""I am the Three of Wands. I reflect the sacred dance of growth, cooperation, creation.""","Wands themes: passion, creativity, action",What does the Three of Wands ask you to explore?,"""I align with the Fire within me and grow through growth, cooperation, creation""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Four of Wands,"Four energy within the realm of wands — Stability, structure, contemplation.","passion, creativity, Stability","blocked energy, resistance, imbalance","""I am the Four of Wands. I reflect the sacred dance of stability, structure, contemplation.""","Wands themes: passion, creativity, action",What does the Four of Wands ask you to explore?,"""I align with the Fire within me and grow through stability, structure, contemplation""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Five of Wands,"Five energy within the realm of wands — Conflict, loss, challenge.","passion, creativity, Conflict","blocked energy, resistance, imbalance","""I am the Five of Wands. I reflect the sacred dance of conflict, loss, challenge.""","Wands themes: passion, creativity, action",What does the Five of Wands ask you to explore?,"""I align with the Fire within me and grow through conflict, loss, challenge""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Six of Wands,"Six energy within the realm of wands — Harmony, generosity, alignment.","passion, creativity, Harmony","blocked energy, resistance, imbalance","""I am the Six of Wands. I reflect the sacred dance of harmony, generosity, alignment.""","Wands themes: passion, creativity, action",What does the Six of Wands ask you to explore?,"""I align with the Fire within me and grow through harmony, generosity, alignment""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Seven of Wands,"Seven energy within the realm of wands — Reflection, illusion, perseverance.","passion, creativity, Reflection","blocked energy, resistance, imbalance","""I am the Seven of Wands. I reflect the sacred dance of reflection, illusion, perseverance.""","Wands themes: passion, creativity, action",What does the Seven of Wands ask you to explore?,"""I align with the Fire within me and grow through reflection, illusion, perseverance""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Eight of Wands,"Eight energy within the realm of wands — Progress, mastery, change.","passion, creativity, Progress","blocked energy, resistance, imbalance","""I am the Eight of Wands. I reflect the sacred dance of progress, mastery, change.""","Wands themes: passion, creativity, action",What does the Eight of Wands ask you to explore?,"""I align with the Fire within me and grow through progress, mastery, change""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Nine of Wands,"Nine energy within the realm of wands — Fruition, wisdom, fulfillment.","passion, creativity, Fruition","blocked energy, resistance, imbalance","""I am the Nine of Wands. I reflect the sacred dance of fruition, wisdom, fulfillment.""","Wands themes: passion, creativity, action",What does the Nine of Wands ask you to explore?,"""I align with the Fire within me and grow through fruition, wisdom, fulfillment""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
Ten of Wands,"Ten energy within the realm of wands — Completion, legacy, cycle close.","passion, creativity, Completion","blocked energy, resistance, imbalance","""I am the Ten of Wands. I reflect the sacred dance of completion, legacy, cycle close.""","Wands themes: passion, creativity, action",What does the Ten of Wands ask you to explore?,"""I align with the Fire within me and grow through completion, legacy, cycle close""","Inner guide, elemental spirit",Fire,Mars,"D Major, drum beat"
